URL	銘柄コード	開示日	タイトル	要約	株主にとって	作成日
/disc/33000/140120240930590591.pdf	3300	2024-09-30	事業計画及び成長可能性に関する説明資料	24年6月期は売上高4,207億円、営業利益27億円で過去最高。中期計画を上方修正し、配当も37円と増額した。	好材料	2026-08-15
/disc/33000/140120241113521018.pdf	3300	2024-11-14	2025年6月期　第1四半期決算短信〔日本基準〕（連結）	2025年6月期第1四半期の売上高は前年同期比111.8%増の150億3,800万円、純利益は9億4,700万円の黒字転換。通期予想は据え置きで増収増益を維持。	好材料	2026-08-15
/disc/33000/140120250213574152.pdf	3300	2025-02-14	2025年6月期　第2四半期(中間期)決算短信〔日本基準〕（連結）	売上高251億38百万円、営業利益18億6百万円でいずれも前年同期比増。年間配当予想は105円に上方修正された。	好材料	2026-08-15
/disc/33000/140120250515552781.pdf	3300	2025-05-15	2025年６月期　第３四半期決算短信〔日本基準〕（連結）	3Q累計売上高367億円(前年比24.5%増)、営業益24.6億円(同26.6%増)で増収増益。賃貸DXと売買DXが牽引、通期予想据え置き。	好材料	2026-08-15
/disc/33000/140120250805529734.pdf	3300	2025-08-05	主要株主である筆頭株主の異動（予定）及び公開買付けに準ずる行為として政令で定める買い集め行為に関するお知らせ	清水社長が保有株1,823,636株（25.64%）を資産管理会社TSコーポレーションへ譲渡。筆頭株主が個人から同社へ異動。経営体制・業績への影響なし。	中立	2026-08-15
/disc/33000/140120250814541456.pdf	3300	2025-08-14	剰余金の配当に関するお知らせ	2025年6月期末配当を1株105円（普通55円＋記念50円）に決定、前期実績37円から約2.8倍増。株主総会付議へ。	好材料	2026-08-15
/disc/33000/140120250814541483.pdf	3300	2025-08-14	中期経営計画の修正に関するお知らせ	2026年6月期の営業利益目標を42.5億円から48億円に上方修正。DX推進と大型案件獲得で収益性が改善し、売上高目標641億円は据え置き。	好材料	2026-08-15
/disc/33000/140120250814541487.pdf	3300	2025-08-14	2026年６月期配当予想に関するお知らせ	2026年6月期の配当予想を1株110円（期末のみ）に決定。前期実績105円（普通55円＋記念50円）から普通配当が倍増し、業績好調と株主還元姿勢を反映。	好材料	2026-08-15
/disc/33000/140120250814541444.pdf	3300	2025-08-14	2025年６月期通期連結業績予想と実績値との差異に関するお知らせ	2025年6月期通期で営業益・経常益・純益を上方修正。売買DX好調と賃貸DX拡大、生成AI導入による生産性向上が寄与し、利益予想を上回った。	好材料	2026-08-15
/disc/33000/140120250814541449.pdf	3300	2025-08-14	2025年６月期 決算短信〔日本基準〕(連結)	25年6月期は売上高523.7億円(前期比24.5%増)、営業益39.5億円(同44.8%増)で5期連続増収増益、配当105円(記念50円含む)。26年6月期も増収増益見込み。	好材料	2026-08-15
/disc/33000/140120250925562597.pdf	3300	2025-09-25	連結子会社における財務上の特約が付された金銭消費貸借契約の締結について	連結子会社ヴェリタス・インベストメントが都市銀行から8.9億円を借入、土地開発の施工費用に充当。財務特約付き。連結業績への影響は軽微。	中立	2026-08-15
/disc/33000/140120250929564741.pdf	3300	2025-09-30	事業計画及び成長可能性に関する説明資料	事業計画及び成長可能性に関する説明資料を公表。2025年6月期のセグメント別売上高構成比（賃貸管理41.3%、売買DX53.6%等）やDX戦略、インキュベーション投資先33社うち6社上場等を示し、質的成長戦略を説明したが、新たな数値目標や業績修正はない。	中立	2026-08-15
/disc/33000/140120251113500734.pdf	3300	2025-11-14	2026年6月期　第1四半期決算短信〔日本基準〕（連結）	2026年6月期第1四半期は売上高109億円（前年比27.2%減）、営業利益4.6億円（同71.1%減）と大幅減収減益。投資事業で自社開発物件の引き渡し時期ズレが主因。通期予想は据え置き。	悪材料	2026-08-15
/disc/33000/140120260212558577.pdf	3300	2026-02-13	2026年6月期 第2四半期（中間期）決算短信〔日本基準〕（連結）	2Q売上高239.7億円(前年比4.7%減)、営業益13.5億円(同25.2%減)。通期予想据え置き(売上641億円、営業益48億円)。投資事業の引渡し時期ズレが主因。配当予想110円に増額。	中立	2026-08-15
/disc/33000/140120260514534712.pdf	3300	2026-05-15	2026年6月期 第3四半期　決算短信〔日本基準〕（連結）	第3四半期は増収減益（売上383億円・4%増、営業益24億円・3%減）。自社開発物件の引渡し第4四半期集中で減益も、通期計画・配当110円据え置き。	中立	2026-08-15
/disc/33000/140120260807515743.pdf	3300	2026-08-13	剰余金の配当に関するお知らせ	2026年6月期の期末配当を1株110円（総額8.16億円）に決定、前期比5円増配。業績を勘案し安定配当を継続する方針に基づく。	好材料	2026-08-15
/disc/33000/140120260807515753.pdf	3300	2026-08-13	2027年６月期配当予想に関するお知らせ	株式会社アンビションDXホールディングスは、2027年6月期の期末配当予想を前期比2円増の112円に増配すると発表した。堅調な業績と株主還元重視の姿勢を理由としており、株主には1株あたり2円の配当増額が見込まれる。	好材料	2026-08-15
/disc/33000/140120260807515731.pdf	3300	2026-08-13	2026年６月期通期連結業績予想と実績値との差異に関するお知らせ	2026年6月期通期実績が前回予想を下回り、売上高△15.6%、営業利益△14.1%。売買DXインベスト事業の売却遅れとライフライン事業の先行投資が響いたが、主力の賃貸DX事業は増収増益で配当は110円維持。	悪材料	2026-08-15
/disc/33000/140120260807515747.pdf	3300	2026-08-13	2026年６月期 決算短信〔日本基準〕(連結)	2026年6月期は売上高541億円（+3.4％）、営業利益41億円（+4.5％）と増収増益も、経常利益35億円（△0.5％）、純利益23億円（△1.6％）は微減。配当110円に増配。賃貸DX好調も売買事業の売却遅れで最終益減。	中立	2026-08-15
/disc/34960/140120211122439590.pdf	3496	2021-11-24	資本金の額の減少に関するお知らせ	資本金4億1,990万円から3億7,290万円を減少させ、純資産額や発行済株式数に変更はないと説明	中立	2026-08-15
/disc/34960/140120211122439593.pdf	3496	2021-11-24	新市場区分「グロース市場」選択に関するお知らせ	アズームは2022年4月の新市場区分移行で「グロース市場」を選択すると決議した。東証の適合判定を既に受領済み。	中立	2026-08-15
/disc/34960/140120211122439605.pdf	3496	2021-11-24	子会社設立に関するお知らせ	アズームは採用マッチング事業の新会社「ダイバース」を資本金2,000万円で設立し、業績への影響は軽微と見込む	中立	2026-08-15
/disc/34960/140120211122439604.pdf	3496	2021-11-24	事業計画及び成長可能性に関する事項	本文はプログラムコードの断片であり、開示内容が含まれていないため判断できない。	判断できない	2026-08-15
/disc/34960/140120211214451924.pdf	3496	2021-12-23	支配株主等に関する事項について	2021年9月30日現在、支配株主の菅田洋司氏の議決権所有割合は60.73%（直接25.00％、合算対象分35.73％）である旨を開示。	中立	2026-08-15
/disc/34960/140120220131576156.pdf	3496	2022-01-31	2022年９月期第１四半期決算短信〔日本基準〕（連結）	売上高1,436百万円で前年同期比29.6%増、純利益は136百万円で同113.8%増。通期予想も上方修正なしで据え置き。	好材料	2026-08-15
/disc/34960/140120220428531376.pdf	3496	2022-04-28	自己株式取得に係る事項の決定に関するお知らせ	アズームは取締役会で、上限2万株・1億円での自己株式取得を決議。市場買付により5月2日から7月29日まで取得する。	中立	2026-08-15
/disc/34960/140120220427529529.pdf	3496	2022-04-28	2022年９月期第２四半期累計期間の連結業績予想と実績値との差異に関するお知らせ	アズームは2022年9月期第2四半期の連結業績が全項目で前期予想を上回り、純利益は82百万円増の296百万円となった。通期予想は据え置き。	好材料	2026-08-15
/disc/34960/140120220428531308.pdf	3496	2022-04-28	2022年９月期第２四半期決算短信〔日本基準〕（連結）	売上高30億21百万円（+29.8%）、純利益2億96百万円（+86.3%）と増収増益。通期予想は据え置きで、第2四半期末配当を30円に引き上げ。	好材料	2026-08-15
/disc/34960/140120220601566254.pdf	3496	2022-06-01	自己株式の取得状況に関するお知らせ	アズームは5月中に自社株6,600株を4,772万円で取得。上限2万株・1億円の枠に対し、約33%を取得済み。	好材料	2026-08-15
/disc/34960/140120220701593838.pdf	3496	2022-07-01	自己株式の取得状況に関するお知らせ	アズームは6月に自社株5,400株を3,561万円で取得。累計は12,000株、8,333万円となり、上限の6割に達した。	好材料	2026-08-15
/disc/34960/140120220712598340.pdf	3496	2022-07-12	自己株式の取得結果および取得終了に関するお知らせ	アズームは自己株式を取得し、累計で1万4200株・9億9840万円を取得した。取得枠の上限に達したため、本取得プログラムを終了する。	好材料	2026-08-15
/disc/34960/140120220729507940.pdf	3496	2022-07-29	2022年９月期第３四半期決算短信〔日本基準〕（連結）	売上高46億5900万円で前年同期比28.5%増、純利益4億4200万円で同73.4%増。通期予想は据え置きで、増収増益の実績を報告した。	好材料	2026-08-15
/disc/34960/140120221110562490.pdf	3496	2022-11-10	2022年９月期決算短信〔日本基準〕（連結）	アズームの2022年9月期連結純利益は前年同期比83.2%増の5億9767万円。配当は期末30円増の合計88円に上方修正し、次期予想も増収増益を見込む。	好材料	2026-08-15
/disc/34960/140120221125571098.pdf	3496	2022-11-25	株式分割、定款の一部変更及び配当予想の修正に関するお知らせ	アズームは株式を2分割し、配当予想も分割前換算で据え置きと表明。実質的な変更はないため影響軽微。	中立	2026-08-15
/disc/34960/140120221125571024.pdf	3496	2022-11-25	事業計画及び成長可能性に関する事項	遊休不動産活用やビジュアライゼーション事業の概要、およびストック収入を基盤とするビジネスモデルと四半期売上進捗の特徴について説明。	中立	2026-08-15
/disc/34960/140120221222582495.pdf	3496	2022-12-23	支配株主等に関する事項について	2022年9月30日現在、支配株主の菅田洋司氏の議決権所有割合は59.62%となった旨を開示した。	中立	2026-08-15
/disc/34960/140120221222582494.pdf	3496	2022-12-23	投資単位の引下げに関する考え方および方針等について	アズームは2022年12月27日付で株式分割を実施し、投資単位を50万円未満に引き下げる。	中立	2026-08-15
/disc/34960/140120230130596096.pdf	3496	2023-01-30	2023年９月期第１四半期決算短信〔日本基準〕（連結）	2023年9月期第1四半期の売上高は1,848百万円で前年同期比28.7%増、純利益は184百万円で同35.0%増となった。通期予想も据え置きで好調な推移を示している。	好材料	2026-08-15
/disc/34960/140120230428556462.pdf	3496	2023-04-28	2023年９月期第２四半期決算短信［日本基準］（連結）	売上高3,863百万円で前年比27.9%増、営業利益は594百万円で同40.6%増の好決算となった。通期予想は据え置きで、第2四半期末配当は20円と決定した。	中立	2026-08-15
/disc/34960/140120230731530419.pdf	3496	2023-07-31	2023年９月期第３四半期決算短信［日本基準］（連結）	2023年9月期第3四半期の売上高は59億9千万円で前年同期比28.6%増、純利益は6億2千円で同41.4%増。通期予想も据え置きで増収増益を達成。	好材料	2026-08-15
/disc/34960/140120231108582964.pdf	3496	2023-11-10	2023年９月期決算短信〔日本基準〕（連結）	売上高82億7300万円（前年比28.9%増）、営業利益12億8200万円（同46.0%増）の決算。24年9月期予想は売上100億円、純利益11億6000万円。	好材料	2026-08-15
/disc/34960/140120231127594992.pdf	3496	2023-11-27	監査等委員会設置会社への移行及び定款の一部変更に関するお知らせ	アズームは監査役会から監査等委員会設置会社へ移行し、定款を変更する。取締役会の監督機能強化とコーポレートガバナンス充実が目的。	中立	2026-08-15
/disc/34960/140120231127595115.pdf	3496	2023-11-27	事業計画及び成長可能性に関する事項	AZoomは遊休資産活用事業の成長戦略を提示。駐車場サブリースやDX技術を活用し、世の中の「もったいない」を効率化する方針を示した。	中立	2026-08-15
/disc/34960/140120231222507657.pdf	3496	2023-12-22	支配株主等に関する事項について	2023年9月30日現在、支配株主の菅田洋司氏の議決権所有割合は58.78%（直接23.49%、合算対象分35.30%）である旨を開示。	中立	2026-08-15
/disc/34960/140120231222507668.pdf	3496	2023-12-25	投資単位の引下げに関する考え方および方針等について	アズームは投資単位50万円以上の引下げについて、株価や流動性などを勘案し慎重に検討するとの方針を開示した。	中立	2026-08-15
/disc/34960/140120240131523186.pdf	3496	2024-01-31	2024年９月期第１四半期決算短信［日本基準］（連結）	売上高2,387百万円、純利益260百万円で増収増益。通期予想は据え置きで、自己資本比率は68.6%に改善	好材料	2026-08-15
/disc/34960/140120240430579909.pdf	3496	2024-04-30	2024年９月期第２四半期決算短信［日本基準］（連結）	売上高4,918百万円（+27.3%）、純利益584百万円（+45.3%）の増収増益。通期予想は据え置きで、第2四半期末配当を20円から25円に増額。	好材料	2026-08-15
/disc/34960/140120240731558972.pdf	3496	2024-07-31	2024年９月期第３四半期決算短信［日本基準］（連結）	売上高75億6800万円で前年同期比26.3%増、純利益は8億5500万円で同36.6%増。通期予想も据え置きで増収増益を達成	好材料	2026-08-15
/disc/34960/140120240807565722.pdf	3496	2024-08-09	2024年９月期第３四半期決算短信［日本基準］（連結）（公認会計士等による期中レビューの完了）	2024年9月期中間決算で売上高75億6800万円で前年同期比26.3%増、純利益は8億5500万円で同36.6%増。通期予想は据え置き。	好材料	2026-08-15
/disc/34960/140120241125528621.pdf	3496	2024-11-25	事業計画及び成長可能性に関する事項	遊休資産活用とビジュアライゼーション事業の概要、およびストック収入ベースのビジネスモデルに関する説明資料を提出した。	中立	2026-08-15
/disc/34960/140120241220541898.pdf	3496	2024-12-20	支配株主等に関する事項について	2024年9月30日現在、支配株主の菅田洋司氏の議決権所有割合は58.69%（直接23.45%、合算対象分35.24%）である旨を開示。	中立	2026-08-15
/disc/34960/140120241223542622.pdf	3496	2024-12-23	投資単位の引き下げに関する考え方及び方針等について	アズームは投資単位50万円以上の現状について、株価や流動性などを勘案し慎重に検討すると表明した。	中立	2026-08-15
/disc/34960/140120250131559890.pdf	3496	2025-01-31	2025年９月期第１四半期決算短信［日本基準］（連結）	2025年9月期第1四半期の連結売上高は前年同期比25.4%増の2,993百万円、純利益は同32.2%増の343百万円。通期業績予想は据え置き。	好材料	2026-08-15
/disc/34960/140120250415515891.pdf	3496	2025-04-15	米国関税政策による当社グループ事業及び業績への影響に関するお知らせ	米国関税政策の影響は軽微と発表。国内完結型事業で米国との直接取引なく、ベトナム子会社の為替影響も現時点では軽微。	中立	2026-08-15
/disc/34960/140120250430527792.pdf	3496	2025-04-30	2025年９月期第２四半期（中間期）決算短信［日本基準］（連結）	アズームは2025年9月中間期売上高63億19百万円（前年同期比28.5%増）、中間配当40円を確定。通期業績予想も上方修正した。	好材料	2026-08-15
/disc/34960/140120250605583191.pdf	3496	2025-06-06	新株式発行、自己株式の処分及び株式売出し並びに親会社以外の支配株主の異動に関するお知らせ	東証プライムへの市場区分変更の承認に伴い、公募増資・自己株式の処分・売出しを決議。親会社以外の支配株主が異動する見込み。月極駐車場サブリースの受託台数拡大で2024年9月期は売上+27.4%・営業利益+42.6%と説明。		2026-08-14
/disc/34960/140120250605583203.pdf	3496	2025-06-06	配当予想の修正（東証プライム市場変更記念配当）に関するお知らせ	東証プライム市場への市場変更を記念し、2025年9月期期末配当を従来予想の40円から120円（普通40円＋記念80円）へ増額修正。株主への感謝還元として記念配当80円を上乗せ。	好材料	2026-08-15
/disc/34960/140120250605583198.pdf	3496	2025-06-06	東京証券取引所プライム市場への上場市場区分変更承認に関するお知らせ	東証グロースからプライム市場への区分変更が承認され、6月24-26日の新株発行・自己株処分・売出し決済日に移行。広範な投資家層へのアピールで企業価値最大化を目指す。	中立	2026-08-15
/disc/34960/140120250616590829.pdf	3496	2025-06-16	発行価格、処分価格及び売出価格等の決定に関するお知らせ	公募増資・自己株式処分・売出しの価格が1株8,467円に決定。新株51,800株（4.4億円）、自己株式処分118,200株（10.0億円）、売出430,000株（36.4億円）。プライム市場への区分変更に伴うもの。		2026-08-14
/disc/34960/140120250623596748.pdf	3496	2025-06-24	東京証券取引所プライム市場への上場市場区分変更に関するお知らせ	6月24日付で東証グロースからプライム市場へ変更。広範な投資家層への訴求と企業価値最大化を目指す。	中立	2026-08-15
/disc/34960/140120250724519901.pdf	3496	2025-07-31	業績予想の修正（上方修正）及び配当予想の修正に関するお知らせ	25年9月期、売上高133.6億円（+6.9%）、純利益17.7億円（+9.3%）に上方修正。配当212円（+92円）に増配。駐車場受託好調と税制メリットで純利益増。	好材料	2026-08-15
/disc/34960/140120250731525437.pdf	3496	2025-07-31	株式分割及び株式分割に伴う定款の一部変更に関するお知らせ	1株を2株に分割（基準日9/30、効力10/1）、投資単位引き下げで流動性向上・投資家層拡大を図る。資本金変更なし、期末配当は分割前株数基準。	中立	2026-08-15
/disc/34960/140120250731525446.pdf	3496	2025-07-31	2025年９月期第３四半期決算短信［日本基準］（連結）	3Q累計は売上高9,706百万円（+28.2%）、純利益1,205百万円（+41.0%）。通期予想を上方修正し、期末配当を212円（記念配当80円含む）に増額。	好材料	2026-08-15
/disc/34960/140120251113500099.pdf	3496	2025-11-13	配当方針の変更（累進配当・DOE指標の導入）に関するお知らせ	配当方針を変更し、累進配当とDOE20%以上を導入。2026年9月期は前期比20円増配の126円（DOE22.2%）を計画。	好材料	2026-08-15
/disc/34960/140120251113500165.pdf	3496	2025-11-13	中期経営計画2030（FY2026-FY2030）	2030年までに受託12万台・売上500億円・営業益125億円・営業益率25%以上を目指す中期計画を発表。前計画は全年度で上振れ着地。	中立	2026-08-15
/disc/34960/140120251113500129.pdf	3496	2025-11-13	2025年９月期決算短信〔日本基準〕（連結）	25年9月期は売上134.8億円(前期比27.9%増)、営業益26.1億円(同43.0%増)で増収増益。上方修正済みで期末配当212円(記念80円含む)、来期も増収増益予想。	好材料	2026-08-15
/disc/34960/140120251219523123.pdf	3496	2025-12-22	連結子会社からの配当金受領に関するお知らせ	連結子会社の鉄壁から3億円の配当を受領。個別決算で営業外収益計上だが、連結業績への影響はなし。	中立	2026-08-15
/disc/34960/140120251219523122.pdf	3496	2025-12-22	投資単位の引下げに関する考え方および方針等について	10月1日付で1株を2株に分割し投資単位を引き下げ。今後の追加引下げは株価等を勘案し慎重に検討する。	中立	2026-08-15
/disc/34960/140120260130543266.pdf	3496	2026-01-30	2026年９月期第１四半期決算短信［日本基準］（連結）	第1四半期売上高3,733百万円（前年比24.7%増）、営業利益631百万円（同25.4%増）で増収増益。通期業績予想は据え置き。	好材料	2026-08-15
/disc/34960/140120260430514761.pdf	3496	2026-04-30	2026年９月期第２四半期（中間期）決算短信［日本基準］（連結）	2Q売上高7,806百万円(前年比23.5%増)、営業利益1,385百万円(同19.9%増)、純利益995百万円(同30.9%増)。通期予想据え置き、中間配当63円。	好材料	2026-08-15
/disc/34960/140120260730503259.pdf	3496	2026-07-30	2026年９月期第３四半期決算短信［日本基準］（連結）	3Q累計売上122.6億円(前年比26.4%増)、営業益21.5億円(同26.6%増)、純益15.3億円(同26.8%増)で増収増益。通期予想据え置き。	好材料	2026-08-15
/disc/350A0/140120250421519365.pdf	350A	2025-04-22	主要株主の異動に関するお知らせ	上場に伴う公募増資と売出しで、ベンチャーキャピタルのWiL Fund IIの議決権が11.24%→5.39%に下がり、大株主2位から3位になった。上場時の希薄化と売出しによるもので、業績への影響はないとしている。		2026-08-14
/disc/350A0/140120250421519339.pdf	350A	2025-04-22	東京証券取引所グロース市場への上場に伴う当社決算情報等のお知らせ	デジタルグリッドが東証グロース上場。25年7月期連結予想は売上55.9億円(前期比58.9%増)、営業益23.6億円(同52.7%増)で大幅増収増益を見込む。下期は競争激化で慎重見通しも、上期実績が予算超過し通期で高成長を計画。	好材料	2026-08-15
/disc/350A0/140120250421519361.pdf	350A	2025-04-22	事業計画及び成長可能性に関する事項	デジタルグリッドが東証グロース上場、調達資金全額を系統用蓄電池投資に充当し成長加速へ。24年7月期売上高35.1億円（前期比2.1倍）、営業利益15.4億円（同3.5倍）の高成長。	中立	2026-08-15
/disc/350A0/140120250516555933.pdf	350A	2025-05-16	第三者割当増資の結果に関するお知らせ	大和証券に274,000株を第三者割当増資、払込総額11.4億円を子会社の蓄電池設備投資に充当予定	悪材料	2026-08-15
/disc/350A0/140120250613589753.pdf	350A	2025-06-13	（訂正）「事業計画及び成長可能性に関する事項」の一部訂正について	4月公表の非財務KPI（再エネ契約容量・需要家拠点数）の誤りを訂正。財務諸表は別システムのため決算数値への影響なし。	中立	2026-08-15
/disc/350A0/140120250613589804.pdf	350A	2025-06-13	よくあるご質問とご回答（25年7月期第3四半期）	デジタルグリッドが25年7月期第3四半期FAQを開示。下期は競争激化で解約率上昇・販管費増により成長鈍化見込み、株主還元は未定。IPO資金で蓄電池事業を推進。	中立	2026-08-15
/disc/350A0/140120250612588887.pdf	350A	2025-06-13	2025年７月期 第３四半期決算短信〔日本基準〕（連結）	2025年7月期第3四半期累計で売上高47.9億円、営業利益23.7億円、最終利益15.9億円。通期予想据え置きながら営業・最終利益が予想を上回る進捗。	中立	2026-08-15
/disc/350A0/140120250911556603.pdf	350A	2025-09-11	業績予想と実績との差異に関するお知らせ	2025年7月期通期実績が売上高6,153百万円（予想比+10.1%）、営業利益2,742百万円（同+16.1%）と上振れ。解約率低下と猛暑による電力量増でDGP手数料収入が伸長。	好材料	2026-08-15
/disc/350A0/140120250911556592.pdf	350A	2025-09-11	株式分割及び株式分割に伴う定款の一部変更に関するお知らせ	10月31日基準で1株を6株に分割し、投資単位引き下げで流動性向上と投資家層拡大を図る。資本金変更なし、発行済株式は約3874万株に増加、新株予約権行使価格も調整。	中立	2026-08-15
/disc/350A0/140120250911556610.pdf	350A	2025-09-11	役員持株会および従業員持株会設立に関するお知らせ	デジタルグリッドが役員・従業員持株会を10月設立、従業員は月1千円から上限10万円で奨励金20%、役員は月1万円上限99口。インサイダー回避と株主視点共有で企業価値向上を図る。	中立	2026-08-15
/disc/350A0/140120250911556598.pdf	350A	2025-09-11	よくあるご質問とご回答（25年７月期本決算）	25年7月期本決算に関するFAQを開示。株主還元は未定で成長投資を優先、調整力事業に3年で100億円投資予定。	中立	2026-08-15
/disc/350A0/140120250910555904.pdf	350A	2025-09-11	2025年７月期 決算短信〔日本基準〕（連結）	初の連結決算で売上高61.5億円、営業益27.4億円、純益18.7億円を計上。26年7月期は増収だが営業益13.8%減、純益21.0%減を見込む。無配継続。	中立	2026-08-15
/disc/350A0/140120251211518156.pdf	350A	2025-12-11	よくあるご質問とご回答（26年7月期第1四半期決算）	26年7月期は売上高+2.1%・営業益△13.8%の増収減益見込み。直販強化と蓄電池投資、広告費増で販管費増が要因。株式分割実施済み、蓄電池は28/7期に売上20%目標。	中立	2026-08-15
/disc/350A0/140120251210517398.pdf	350A	2025-12-11	2026年７月期 第１四半期決算短信〔日本基準〕（連結）	26年7月期1Qは売上20.1億円、営業益10.7億円、純利益7.9億円。通期予想据え置き（減益見込み）で進捗良好も不透明感残る。	判断できない	2026-08-15
/disc/350A0/140120260311579850.pdf	350A	2026-03-11	株式会社DGキャピタルグループと当社の関係につきまして	DGキャピタルグループ破産で関係を明確化。創業者阿部氏は2019年退任、別法人として独立運営のため2026年7月期損益への影響なし。	中立	2026-08-15
/disc/350A0/140120260311579846.pdf	350A	2026-03-11	よくあるご質問とご回答（26年7月期 第2四半期決算）	第2四半期決算に関するFAQを開示。Q1の電力精算益は想定外の上振れだが非経常的で第2四半期以降減少見込み。契約容量は計画通り拡大、蓄電池事業は順調も収益貢献は来期以降。通期予想は据え置き。	中立	2026-08-15
/disc/350A0/140120260309578330.pdf	350A	2026-03-11	2026年７月期 第２四半期（中間期）決算短信〔日本基準〕（連結）	26年7月期中間期は売上高3,328百万円（+0.6%）、営業益1,536百万円（-10.1%）、純利益1,216百万円（+2.6%）。電力PF減益も再エネPF大幅増益。通期予想据え置きで減益見込み、無配継続。	中立	2026-08-15
/disc/350A0/140120260611568520.pdf	350A	2026-06-11	よくあるご質問とご回答（26年７月期 第３四半期決算）	26年7月期第3四半期のFAQを開示。中東情勢の業績影響はないとし、蓄電池投資100億円（40MW目標）は順調、初の自社蓄電所が稼働。AS事業は100MW超・利益率74%で拡大中。価格上限引き下げ影響も限定的と説明。	中立	2026-08-15
/disc/350A0/140120260611568500.pdf	350A	2026-06-11	2026年７月期 通期連結業績予想の修正に関するお知らせ	2026年7月期通期連結業績予想を上方修正。売上高6,595百万円（+5.0%）、営業利益2,836百万円（+20.0%）、親会社株主帰属純利益1,919百万円（+30.0%）。電力PF・再エネPF・AS事業が計画超過。	好材料	2026-08-15
/disc/350A0/140120260611567973.pdf	350A	2026-06-11	2026年７月期 第３四半期決算短信〔日本基準〕（連結）	3Q累計は増収増益、通期予想を上方修正（売上高+5％、純利益+30％）。第3四半期の好調を受け業績見通しを引き上げ。	好材料	2026-08-15
/disc/350A0/140120260626581486.pdf	350A	2026-06-26	当社株式の貸借銘柄選定に関するお知らせ	東証グロース市場で制度信用銘柄だった当社株が、6月29日から貸借銘柄に新規選定。流動性向上と公正な価格形成への寄与を期待。	中立	2026-08-15
/disc/350A0/140120260703587705.pdf	350A	2026-07-03	資金借入に関するお知らせ	連結子会社が蓄電池投資100億円のため、JA三井リースから20億円と三井住友銀行から5.58億円を借入。業績影響は軽微と見込む。	中立	2026-08-15
/disc/350A0/140120260724599394.pdf	350A	2026-07-24	シンジケート型コミットメントライン契約（増額変更）の締結に関するお知らせ	シンジケート型コミットメントラインを56億円から117.5億円に増額。事業拡大に伴う資金需要増に備え財務基盤を安定化。業績影響は軽微。	中立	2026-08-15
/disc/36240/140120211117437764.pdf	3624	2021-11-18	資本金及び利益準備金の額の減少並びに剰余金の処分に関するお知らせ	繰越利益剰余金の欠損補填のため、資本金4億4,281万円を無償減資し、純資産額や発行済株式数に変更はない。	中立	2026-08-15
/disc/36240/140120211117437766.pdf	3624	2021-11-18	新市場区分における「グロース市場」選択申請に関するお知らせ	アクセルマークは新市場区分で「グロース市場」を選択すると取締役会で決議した。上場維持基準適合の一次判定結果を受けての申請決定。	中立	2026-08-15
/disc/36240/140120211117437765.pdf	3624	2021-11-18	定款の一部変更に関するお知らせ	事業目的に医療ヘルスケア関連を追加し、発行可能株式総数を1,700万株から3,000万株へ変更する旨を決議。	中立	2026-08-15
/disc/36240/140120211220555918.pdf	3624	2021-12-23	債務超過解消による猶予期間の解除に関するお知らせ	債務超過解消により上場廃止猶予期間が解除され、純資産6億9100万円となった。	好材料	2026-08-15
/disc/36240/140120211220555947.pdf	3624	2021-12-24	事業計画及び成長可能性に関する説明資料	アクセルマークは事業計画説明資料を開示。広告事業の黒字化達成と債務超過解消、自己資本比率40.1%回復を報告した。	好材料	2026-08-15
/disc/36240/140120220210586987.pdf	3624	2022-02-10	2022年９月期 第１四半期決算短信〔日本基準〕（非連結）	2022年9月期第1四半期の売上高は6億3,951万円で前年同期比1.1%増、経常利益は147万円の黒字化。通期業績予想は据え置き。	中立	2026-08-15
/disc/36240/140120220511539377.pdf	3624	2022-05-12	業績予想の修正に関するお知らせ	2022年9月期通期の業績予想を下方修正。売上高は2,584〜3,034百万円、営業利益は△80〜10百万円を見込む。広告出稿抑制やNFTサービス開始延期が理由。	悪材料	2026-08-15
/disc/36240/140120220512542515.pdf	3624	2022-05-12	2022年９月期 第２四半期決算短信〔日本基準〕（非連結）	アクセルマークは第2四半期売上高13億15百万円（前年比4.1%増）、経常利益956万円の黒字化。通期業績予想を下方修正し、営業利益は減益範囲とした。	悪材料	2026-08-15
/disc/36240/140120220525557405.pdf	3624	2022-05-26	株式報酬型ストック・オプション（新株予約権）の発行に関するお知らせ	従業員95,600株相当の新株予約権を発行。行使条件は売上高32億円超かつ当期純利益1〜2億円超で、企業価値向上を目的とする。	中立	2026-08-15
/disc/36240/140120220525557408.pdf	3624	2022-05-26	募集新株予約権（有償ストック・オプション）の発行に関するお知らせ	アクセルマークは取締役に対し、行使条件付きの有償ストックオプション1,000個を発行。希薄化率1.03%で業績目標達成が行使条件	中立	2026-08-15
/disc/36240/140120220614578907.pdf	3624	2022-06-16	株式報酬型ストック・オプション（新株予約権）の発行内容確定に関するお知らせ	従業員30名に854個の新株予約権を発行。払込総額相当の金銭報酬を支給し相殺する実質無償の制度。	中立	2026-08-15
/disc/36240/140120220614578914.pdf	3624	2022-06-16	募集新株予約権（有償ストック・オプション）の発行内容確定に関するお知らせ	アクセルの取締役1名に対し、普通株式10万株の取得可能な有償ストックオプションを1,000個発行する内容が確定した。	中立	2026-08-15
